#;Inoc_type;Incuba;Feed;TS_feed;VS_feed;T_strategy;T_i ;T_f;OLR_strategy;Mean_OLR;Design_OLR;HRT_i;HRT_f;Period_t;R_scale;Working volume
24;CM;YES;OSW;77,5;72,93;T_one_step;55;55;Dynamic ;0,98;2,07;227;133;1000;lab;9
72;Sewage sludge;YES;OSW;206,52;195,78;T_constant;35;35;Dynamic ;1,05;1,45;293;187;1000;lab;10
73;DG;NO;OSW;206,52;195,78;T_constant;35;35;Dynamic ;0,28;0,93;648;1120;1000;lab;8
74;DG;NO;OSW;206,52;195,78;T_constant;35;35;Dynamic ;0,29;0,8;587;1120;1000;lab;8
75;DG;YES;OSW;206,52;195,78;T_constant;35;35;Step-wise;1,51;2,03;265;148;1000;lab;9,5
76;DG;NO;OSW;206,52;195,78;T_constant;35;35;Step-wise;1,17;2,03;456;148;1000;lab;9,5
86;DG;YES;SS ;46,9;33;T_step-wise ;36;60;Constant;1,1;1,1;30;30;1000;lab;3
69;DG;YES;SS ;52,25;40,51;T_one_step;25;55;Dynamic ;2,05;2,5;28;16;286;pilot/full;15000
52;Sewage sludge;NO;SS ;20,8;14,7;T_one_step;37;55;Step-wise;2;2,9;13;5;250;pilot/full;100
91;DG;NO;M;58,3;43,9;T_constant;30;30;Constant;2,26;2,64;20;15;180;pilot/full;6000
29;Mixture;NO;M;19;14;T_constant;20;20;Constant;0,3;0,3;25;25;175;lab;8
81;DG;YES;SS ;25,2;15,9;T_one_step;37;55;Constant;0,8;0,8;20;20;150;lab;3
82;DG;YES;SS ;25,2;15,9;T_one_step;37;55;Constant;0,39;0,39;40;40;150;lab;3
83;DG;YES;SS ;25,2;15,9;T_one_step;37;55;Constant;0,8;0,8;20;20;150;lab;3
84;DG;YES;SS ;25,2;15,9;T_one_step;37;55;Constant;0,39;0,39;40;40;150;lab;3
88;DG;NO;SS ;46,9;33;T_step-wise ;53,3;60;Constant;1,1;1,1;30;30;135;lab;3
8;DG;NO;SS ;46;27;T_step-wise ;37;55;Constant;1,38;1,38;20;20;118;lab;2,6
77;DG;YES;M;39,3;26,8;T_one_step;37;50;Constant;1;1;90;30;116;lab;5,5
78;DG;YES;M;39,3;26,8;T_one_step;37;50;Constant;1;1;90;30;116;lab;5,5
19;Mixture;YES;OSW;73,25;69,5;T_constant;55;55;Step-wise;1,61;2,4;45;30;108;lab;9
20;Mixture;YES;OSW;73,25;69,5;T_constant;55;55;Step-wise;1,61;2,4;45;30;108;lab;9
9;DG;NO;SS ;46;27;T_one_step;37;55;Constant;1,38;1,38;20;20;88;lab;2,6
80;DG;YES;M;200;158,96;T_constant;30;30;Constant;4,96;4,96;32;32;84;lab;5
68;DG;YES;M;136;122;T_constant;37;37;Step-wise;1,6;2,6;40;40;80;lab;8
32;DG;YES;SS ;36;27,36;T_one_step;37;55;Dynamic ;5,388;8,24;33;12;76;pilot/full;4500000
94;Sewage sludge;YES;M;62;29;T_constant;35;35;Constant;1;1;60;60;76;lab;2,5
30;Mixture;NO;M;19;14;T_constant;28;28;Constant;0,3;0,3;25;25;75;lab;8
35;DG;NO;M;81;62;T_constant;55;55;Constant;4,01;4,01;15;15;70;lab;3,6
48;DG;NO;OSW;60,52;52,11;T_constant;37;37;Step-wise;1,15;2,08;230;25;61;lab;3
49;DG;NO;OSW;60,52;52,11;T_constant;37;37;Step-wise;1,64;3,13;333;16;61;lab;3
50;DG;NO;OSW;60,52;52,11;T_constant;37;37;Constant;2,61;2,61;20;20;61;lab;3
79;CM;YES;M;53,7;41;T_constant;38;38;Step-wise;0,88;1,3;100;40;60;pilot/full;210
85;DG;NO;SS ;46,9;33;T_step-wise ;36;53,3;Constant;1,1;1,1;30;30;60;lab;3
33;DG;NO;M;81;62;T_constant;55;55;Constant;4,01;4,01;15;15;58;lab;3,6
34;DG;NO;M;81;62;T_constant;55;55;Constant;4,01;4,01;15;15;58;lab;3,6
93;Sewage sludge;NO;M;62;29;T_constant;35;35;Constant;1;1;60;60;52;lab;2,5
31;Mixture;NO;M;19;14;T_constant;38;38;Constant;0,3;0,3;25;25;50;lab;8
90;DG;YES;OSW;68,1;64;T_constant;37;37;Constant;1,6;1,6;20;20;50;lab;10
14;DG;YES;OSW;200;98;T_constant;35;35;Constant;5,2;5,2;20;20;45;lab;5
66;DG;YES;M;136;122;T_constant;37;37;Step-wise;1,6;2,6;40;40;45;lab;8
67;DG;YES;M;136;122;T_constant;37;37;Step-wise;1,6;2,6;40;40;45;lab;8
46;DG;NO;M;150;75;T_constant;35;35;Constant;4,7;4,7;16,2;16,2;40;lab;3,73
47;DG;NO;M;150;75;T_constant;35;35;Constant;4,7;4,7;16,2;16,2;40;lab;3,73
87;DG;NO;SS ;46,9;33;T_step-wise ;53,3;60;Constant;1,1;1,1;30;30;40;lab;3
89;DG;YES;SS ;53,19;24,83;T_one_step;35;55;Constant;1,24;1,24;20;20;40;lab;6
58;DG;YES;OSW;105,7;92,1;T_constant;55;55;Step-wise;0,75;1;20;20;38;pilot/full;55
6;Sewage sludge;YES;SS ;40,28;29,95;T_one_step;37;55;Step-wise;1,29;1,7;30;8;37;lab;5
25;DG;NO;M;41;28,1;T_constant;37;37;Step-wise;1,27;2,25;100;12,5;35;pilot/full;75
26;DG;NO;M;41;28,1;T_constant;37;37;Step-wise;4,64;9;100;3,1;35;pilot/full;75
27;CM;NO;M;41;28,1;T_step-wise ;20;37;Constant;2,25;2,25;12,5;12,5;35;pilot/full;75
28;CM;NO;M;41;28,1;T_step-wise ;20;37;Constant;9;9;3,1;3,1;35;pilot/full;75
70;DG;NO;M;215;149,8;T_constant;38;38;Constant;4;4;37;37;33;lab;10
71;DG;NO;M;215;149,8;T_constant;38;38;Constant;4;4;37;37;33;lab;10
7;Sewage sludge;YES;SS ;40,28;29,95;T_constant;35;35;Step-wise;1,07;1,457;35;18;31;lab;5
55;DG;NO;OSW;101,5;81,2;T_constant;37;37;Dynamic ;4,36;7,17;15;38;31;lab;1,64
56;DG;NO;OSW;101,5;81,2;T_constant;37;37;Dynamic ;2,65;2,87;28;39;31;lab;1,64
57;DG;NO;OSW;101,5;81,2;T_constant;37;37;Dynamic ;4,02;7,23;21;39;31;lab;1,64
37;DG;NO;M;51;34;T_constant;35;35;Constant;2;2;16,2;16,2;30;lab;3,73
38;DG;NO;M;51;34;T_constant;35;35;Constant;2;2;16,2;16,2;30;lab;3,73
39;DG;NO;M;51;34;T_constant;35;35;Constant;2;2;16,2;16,2;30;lab;3,73
40;DG;NO;M;51;34;T_constant;35;35;Constant;2;2;16,2;16,2;30;lab;3,73
41;DG;NO;M;100;53;T_constant;35;35;Constant;3,2;3,2;16,2;16,2;30;lab;3,73
42;DG;NO;M;100;53;T_constant;35;35;Constant;3,2;3,2;16,2;16,2;30;lab;3,73
43;DG;NO;M;100;53;T_constant;35;35;Constant;3,2;3,2;16,2;16,2;30;lab;3,73
44;DG;NO;M;100;53;T_constant;35;35;Constant;3,2;3,2;16,2;16,2;30;lab;3,73
59;DG;YES;OSW;24;16;T_step-wise ;35;55;Constant;0,5336;0,53;30;30;26;lab;1,5
60;DG;YES;OSW;24;16;T_one_step;35;55;Constant;0,5336;0,53;30;30;26;lab;1,5
61;DG;YES;OSW;24;16;T_step-wise ;35;55;Constant;0,5336;0,53;30;30;26;lab;1,5
62;DG;YES;OSW;24;16;T_one_step;35;55;Constant;0,5336;0,53;30;30;26;lab;1,5
5;DG;NO;OSW;60;48,78;T_constant;55;55;Constant;1,63;1,63;30;30;20;lab;3,5
45;DG;NO;M;150;75;T_constant;35;35;Constant;4,7;4,7;16,2;16,2;20;lab;3,73
53;Mixture;YES;OSW;108;64;T_one_step;37;55;Constant;6,8;6,8;9;9;20;lab;3
54;Mixture;YES;OSW;108;64;T_one_step;35;55;Constant;6,8;6,8;9;9;20;lab;3
3;DG;NO;OSW;60;48,78;T_constant;55;55;Constant;3,26;3,26;15;15;12;lab;3,5
4;DG;NO;OSW;60;48,78;T_constant;55;55;Step-wise;2,39;4,29;100;11;12;lab;3,5
